id,anio,seccion,concepto,valor_num,valor_raw,unidad,es_ratio
e853b768-f383-48a5-a6a2-01e879f72de6,2020,Balance general,Obligaciones laborales,4584.0,4.584,millones COP,false
af7e1a57-96bb-4f53-9ed8-08044eb13f4f,2021,Balance general,Obligaciones laborales,6628.0,6.628,millones COP,false
c9d64998-a495-4fda-b8e7-d0fe59b916be,2022,Balance general,Obligaciones laborales,10008.0,10.008,millones COP,false
33b1dd41-8a8d-496d-b757-c234225fd3a5,2023,Balance general,Obligaciones laborales,13182.0,13.182,millones COP,false
ba825d0e-6f55-444e-b1f4-48dfd6f16ef1,2024,Balance general,Obligaciones laborales,14465.0,14.465,millones COP,false
6668d23b-519f-41ce-8491-a78828504ed5,2019,Balance general,Impuestos por pagar,0.0,0,millones COP,false
a806119a-6bae-4cb2-8ac5-abd4a115cf03,2020,Balance general,Impuestos por pagar,0.0,0,millones COP,false
128d4cf2-2486-4603-a26f-cc662a48022f,2021,Balance general,Impuestos por pagar,0.0,0,millones COP,false
36eb0906-3deb-4243-ac9e-c4ea5f3dffa7,2022,Balance general,Impuestos por pagar,0.0,0,millones COP,false
b5700af1-a025-401a-9815-0aed6afc4454,2023,Balance general,Impuestos por pagar,0.0,0,millones COP,false
0d2e8454-c8b8-4c1e-b759-00c78aac43d3,2024,Balance general,Impuestos por pagar,0.0,0,millones COP,false
6a685665-0439-4656-b8c3-f8f44a5b7173,2019,Balance general,Provisiones,0.0,0,millones COP,false
fb3928e3-c7a9-4994-bad1-4ee7e5c1b56e,2020,Balance general,Provisiones,0.0,0,millones COP,false
20542c42-1085-457a-8f89-ef64d7aaa44b,2021,Balance general,Provisiones,0.0,0,millones COP,false
55abd47e-2618-4b06-aa47-d747b4f5dae4,2022,Balance general,Provisiones,0.0,0,millones COP,false
04447620-6956-43b9-a960-6bea658c6a4c,2023,Balance general,Provisiones,0.0,0,millones COP,false
98bc475d-158e-49ed-afac-981babff9d81,2024,Balance general,Provisiones,566.0,566,millones COP,false
9278e039-627b-4250-b94b-48f139a3155a,2019,Balance general,Otros pasivos,5724.0,5.724,millones COP,false
9f4b0494-9a70-4242-a448-21ba29b0c5ca,2020,Balance general,Otros pasivos,345.0,345,millones COP,false
2ea19554-8612-4956-95ed-8fe948a309ed,2021,Balance general,Otros pasivos,0.0,0,millones COP,false
804add9c-5fd3-4a3b-882e-3bcaf781a1f6,2022,Balance general,Otros pasivos,8433.0,8.433,millones COP,false
43db2d23-687b-4e2a-a872-99e04d945c68,2023,Balance general,Otros pasivos,10211.0,10.211,millones COP,false
0d049a89-7ff5-4c9f-8fd2-b3d770d284ee,2024,Balance general,Otros pasivos,11110.0,11.110,millones COP,false
5cd1b5f6-4c1d-472f-a2b5-f85db76c825b,2019,Balance general,Total pasivos,284134.0,284.134,millones COP,false
